susceptible_status,exposed_status,infected_status,recovered_status,happiness_happiness,dead,R₀,active_countermeasures
58557,0,1,0,0.0,0,3.54,0.01
58555,2,1,0,0.00019986428268819773,0,3.5141,0.01
58554,3,1,0,0.00034342345155389246,0,3.488459,0.01
58551,6,1,0,0.00043209642218728543,0,3.4630744100000004,0.01
58551,5,2,0,0.0005740913209424229,0,3.4379436659000002,0.01
58547,8,3,0,0.0007321924581916506,0,3.4130642292410003,0.01
58544,9,5,0,0.0009089383862650304,0,3.38843358694859,0.01
58543,9,6,0,0.0010793498372742066,0,3.3640492510791042,0.01
58535,15,8,0,0.0011692776773688197,0,3.3399087585683134,0.01
58528,20,9,1,0.0013261552486767568,0,3.31600967098263,0.01
58521,21,13,3,0.0015265182918143077,0,3.2923495742728037,0.01
58510,29,16,3,0.0016100813787685883,0,3.2689260785300758,0.01
58501,35,19,3,0.0017504756007117718,0,3.245736817744775,0.01
58486,38,29,5,0.001917500685274369,0,3.2227794495673274,0.01
58465,48,37,8,0.0020327774763235535,0,3.200051655071654,0.01
58440,58,48,11,0.0021396426476643173,1,3.1775511385209376,0.01
58405,82,54,16,0.0022961291366115385,1,3.1552756271357283,0.01
58372,93,69,23,0.0024416013355706475,1,3.133222870864371,0.01
58322,122,81,32,0.0026741963605194223,1,3.111390642155727,0.01
58274,143,99,41,0.0028601178786460163,1,3.0897767357341697,0.01
58209,168,130,50,0.0030055693000158503,1,3.068378968376828,0.01
58101,228,156,72,0.0031746323614252224,1,3.04719517869306,0.01
57994,284,198,81,0.0033609274335442757,1,3.0262232269061293,0.01
57861,357,235,104,0.0034790633317104648,1,3.005460994637068,0.01
57710,439,277,131,0.0036398806944916706,1,2.9849063846906976,0.01
57529,500,369,159,0.0038278703883171464,1,2.9645573208437908,0.01
57333,586,439,198,0.003996799922263634,2,2.944411747635353,0.01
57103,671,553,229,0.004142152644017854,2,2.924467630158999,0.01
56812,818,652,274,0.004310587386860443,2,2.904722953857409,0.01
56464,970,782,340,0.004462387608988298,2,2.885175724318835,0.01
56076,1144,920,415,0.004613534614036567,3,2.8658239670756465,0.01
55665,1293,1085,510,0.0048370035688532235,5,2.84666572740489,0.01
55143,1523,1301,586,0.005070585406310677,5,2.827699070130841,0.01
54641,1688,1522,701,0.005232727569897023,6,2.8089220794295326,0.01
53992,1971,1747,842,0.0053651776566175135,6,2.7903328586352374,0.01
53335,2168,2049,998,0.005523742558578609,8,2.771929530048885,0.01
52636,2347,2395,1172,0.005744952674692683,8,2.753710234748396,0.01
51823,2661,2678,1384,0.00589604131286494,12,2.7356731324009123,0.01
50968,2895,3090,1592,0.005943786912819008,13,2.7178164010769033,0.01
50001,3189,3482,1870,0.00605730066131263,16,2.700138237066134,0.01
48983,3439,3966,2154,0.0063265436224763496,16,2.682636854695473,0.01
47867,3754,4450,2469,0.006457465551510224,18,2.665310486148518,0.01
46707,4014,5005,2810,0.006606336895699663,22,2.648157381287033,0.01
45468,4328,5489,3246,0.0067033255830131295,27,2.6311758074741625,0.01
44131,4661,6034,3702,0.006849769879701553,30,2.6143640493994207,0.01
42660,4988,6675,4203,0.007071451322212041,32,2.5977204089054267,0.01
41132,5389,7275,4727,0.0072135209072529145,35,2.5812432048163725,0.01
39509,5814,7835,5359,0.007356432167044704,41,2.564930772768209,0.01
37901,6153,8474,5985,0.007520439275494879,45,2.548781465040527,0.01
36221,6467,9107,6714,0.007618467685369339,49,2.5327936503901216,0.01
34405,6845,9760,7490,0.007748984345959188,58,2.5169657138862203,0.01
32600,7142,10452,8301,0.00793166901536327,63,2.501296056747358,0.01
30674,7478,11170,9166,0.008089760142107114,70,2.485783096179884,0.01
28805,7627,12070,9982,0.008246546225369121,74,2.4704252652180854,0.01
26853,7885,12779,10964,0.008425895309374726,77,2.4552210125659046,0.01
24949,8088,13454,11986,0.008588033392539891,81,2.4401688024402457,0.01
23007,8306,14207,12948,0.008855647947360016,90,2.4252671144158433,0.01
21051,8475,14898,14034,0.008981784407332641,100,2.4105144432716847,0.01
19262,8410,15655,15124,0.009038744342701476,107,2.395909298838968,0.01
17506,8379,16242,16315,0.009184001901077096,116,2.381450205850578,0.01
15909,8123,16887,17518,0.009332206988358181,121,2.3671357037920724,0.01
14301,7982,17327,18818,0.00952820801610772,130,2.3529643467541517,0.01
12875,7692,17733,20120,0.009733776512731215,138,2.3389347032866104,0.01
11587,7319,18012,21494,0.009927715570959098,146,2.325045356253744,0.01
10413,6964,18238,22780,0.01009577238604868,163,2.311294902691207,0.01
9314,6588,18443,24043,0.010332098533382206,170,2.297681953664295,0.01
8333,6282,18361,25408,0.010376929913892113,174,2.284205134127652,0.01
7496,5863,18282,26738,0.010465038931249402,179,2.270863082786376,0.01
6756,5433,18134,28052,0.010622189372370375,183,2.257654451958512,0.01
6113,5070,17908,29273,0.01077410421589786,194,2.2445779074389267,0.01
5537,4660,17677,30486,0.011006318019374866,198,2.2316321283645375,0.01
5066,4228,17331,31722,0.01123809632779569,211,2.218815807080892,0.01
4621,3888,16912,32918,0.011360531049869957,219,2.206127649010083,0.01
4290,3491,16530,34022,0.011600569990104401,225,2.193566372519982,0.01
4003,3157,16032,35136,0.01172256320963365,230,2.1811307087947824,0.01
3754,2875,15509,36181,0.011806876418676714,239,2.1688194017068345,0.01
3545,2615,15020,37131,0.011958278230189311,247,2.1566312076897662,0.01
3383,2298,14476,38144,0.012062082809081385,257,2.1445648956128687,0.01
3232,2105,13850,39101,0.012221279155461418,270,2.13261924665674,0.01
3143,1863,13295,39981,0.0123993086392107,276,2.1207930541901727,0.01
3049,1691,12765,40771,0.012552432156819856,282,2.109085123648271,0.01
2987,1538,12198,41544,0.01269842088723885,291,2.0974942724117884,0.01
2917,1416,11624,42304,0.012786636672645596,297,2.0860193296876703,0.01
2891,1310,10997,43055,0.013006367048918758,305,2.074659136390794,0.01
2878,1214,10434,43720,0.013183366300245256,312,2.063412545026886,0.01
2868,1092,9951,44331,0.013393919706372234,316,2.052278419576617,0.01
2854,1023,9457,44902,0.013560438778542275,322,2.0412556353808506,0.01
2875,941,9042,45375,0.013765109116073166,325,2.030343079027042,0.01
2894,868,8582,45883,0.013865666478119598,331,2.019539648236772,0.01
2931,820,8125,46348,0.014024002214616105,334,2.0088442517544043,0.01
3000,771,7662,46785,0.014094968353674813,340,1.9982558092368603,0.01
3059,727,7249,47179,0.014245501796998553,344,1.9877732511444917,0.01
3094,677,6869,47571,0.014451894676570447,347,1.9773955186330467,0.01
3160,637,6495,47918,0.014611100996466215,348,1.9671215634467163,0.01
3224,590,6131,48263,0.01470824548047273,350,1.9569503478122492,0.01
3300,553,5821,48529,0.01492966485282266,355,1.9468808443341268,0.01
3401,509,5491,48799,0.015097711281383016,358,1.9369120358907854,0.01
3492,483,5234,48991,0.015237713939499216,358,1.9270429155318776,0.01
3596,461,4932,49211,0.015291368411070422,358,1.917272486376559,0.01
3718,439,4702,49339,0.015432429130525682,360,1.9075997615127933,0.01
3814,428,4464,49489,0.01565366046093203,363,1.8980237638976654,0.01
3918,402,4239,49635,0.015857884888578276,364,1.8885435262586887,0.01
4042,361,3987,49799,0.015940378526445153,369,1.8791580909961019,0.01
4151,354,3790,49892,0.016136397158523535,371,1.869866510086141,0.01
4242,366,3576,50001,0.016267670159347474,373,1.8606678449852796,0.01
4388,356,3394,50047,0.01647331590769512,373,1.8515611665354268,0.01
4534,327,3224,50096,0.016682198465005866,377,1.8425455548700724,0.01
4659,314,3066,50141,0.016814037587507664,378,1.8336200993213716,0.01
4775,299,2907,50196,0.01695518589570825,381,1.824783898328158,0.01
4890,296,2750,50239,0.017093006850838578,383,1.8160360593448763,0.01
4999,297,2627,50252,0.017239097630710725,383,1.8073756987514276,0.01
5114,295,2476,50288,0.017360059809163362,385,1.7988019417639134,0.01
5232,275,2373,50290,0.017465396224201627,388,1.7903139223462743,0.01
5361,253,2267,50288,0.01763926708664625,389,1.7819107831228116,0.01
5491,245,2153,50279,0.0177812650838508,390,1.7735916752915835,0.01
5640,241,2058,50229,0.01792123558332193,390,1.7653557585386677,0.01
5778,243,1968,50178,0.01810452766902001,391,1.757202200953281,0.01
5890,226,1907,50141,0.018224235238221906,394,4.562807993114721,0.01
5764,463,1818,50117,0.018422999308443953,396,4.526679913183574,0.01
5705,604,1796,50056,0.01853350648851647,397,4.490913114051738,0.01
5632,721,1790,50018,0.018736208869601405,397,4.45550398291122,0.01
5539,803,1807,50011,0.018843664513233167,398,4.420448943082108,0.01
5491,852,1852,49965,0.019013204345370995,398,4.385744453651287,0.01
5449,908,1884,49919,0.019137755745646943,398,4.351387009114775,0.01
5368,975,1925,49892,0.019233030303444955,398,4.317373139023627,0.01
5312,990,2003,49854,0.019414889548099494,399,4.2836994076333905,0.01
5242,1024,2062,49830,0.019574240543342898,400,4.250362413557057,0.01
5195,1034,2106,49820,0.019788516267444274,403,4.217358789421486,0.01
5126,1063,2158,49807,0.019878024424798475,404,4.184685201527271,0.01
5057,1066,2213,49816,0.020013760760301074,406,4.152338349511998,0.01
5010,1067,2260,49814,0.02016303786765762,407,4.1203149660168785,0.01
4930,1074,2328,49819,0.020352278879385646,407,4.08861181635671,0.01
4881,1064,2374,49832,0.020512600283558412,407,4.057225698193142,0.01
4796,1054,2428,49870,0.020667726425492267,410,4.0261534412112105,0.01
4700,1086,2462,49900,0.02081939843354818,410,3.9953919067990986,0.01
4652,1064,2498,49933,0.02093288271214045,411,3.9649379877311075,0.01
4603,1072,2553,49918,0.021116612483410332,412,3.9347886078537964,0.01
4516,1072,2564,49992,0.021205624833699862,414,3.9049407217752585,0.01
4452,1059,2577,50051,0.021401539115459573,419,3.875391314557506,0.01
4423,1060,2585,50066,0.021528610711802648,424,3.846137401411931,0.01
4381,1036,2600,50113,0.021702740949817573,428,3.8171760273978115,0.01
4350,1068,2592,50120,0.02182438455309433,428,3.7885042671238334,0.01
4357,1045,2608,50120,0.02204842944123394,428,3.760119224452595,0.01
4320,1022,2612,50175,0.022199986971074857,429,3.732018032208069,0.01
4309,992,2643,50184,0.022323172673234054,430,3.7041978518859886,0.01
4308,963,2647,50209,0.022515747491688293,431,3.6766558733671286,0.01
4266,945,2664,50251,0.02265051857754222,432,3.6493893146334573,0.01
4252,958,2622,50294,0.022724577328681887,432,3.6223954214871226,0.01
4229,925,2655,50315,0.02289695526685329,434,3.5956714672722514,0.01
4204,952,2649,50318,0.023026595728752475,435,3.569214752599529,0.01
4209,933,2616,50365,0.02322173221350855,435,3.5430226050735336,0.01
4197,920,2587,50418,0.023436112590605327,436,3.5170923790227984,0.01
4224,897,2567,50430,0.023597126886632923,440,3.49142145523257,0.01
4236,906,2504,50471,0.023792299342742945,441,3.4660072406802445,0.01
4283,867,2470,50495,0.02392304941862206,443,3.440847168273442,0.01
4280,840,2448,50547,0.024076598598029384,443,3.4159386965907075,0.01
4299,823,2407,50583,0.02423509630906234,446,3.3912793096248004,0.01
4304,831,2376,50600,0.0243733427006614,447,3.3668665165285523,0.01
4310,818,2386,50597,0.024504424230565765,447,3.342697851363267,0.01
4350,786,2378,50596,0.024636832057703242,448,3.318770872849634,0.01
4358,758,2364,50629,0.024822165846484622,449,3.295083164121138,0.01
4421,741,2360,50585,0.02496751270089477,451,3.2716323324799266,0.01
4499,697,2342,50569,0.02517169844745029,451,3.2484160091551275,0.01
4575,675,2325,50530,0.025463004337983267,453,3.2254318490635763,0.01
4620,681,2276,50527,0.025669495444367127,454,3.2026775305729407,0.01
4691,667,2204,50540,0.0258226962067588,456,3.1801507552672112,0.01
4715,692,2182,50512,0.026016547773119778,457,3.1578492477145392,0.01
4765,680,2159,50496,0.02614020018813284,458,3.135770755237394,0.01
4842,636,2156,50464,0.0263052683041966,460,3.11391304768502,0.01
4899,621,2153,50424,0.026496101023620718,461,3.09227391720817,0.01
4969,604,2120,50402,0.026649710466199794,463,3.0708511780360883,0.01
5033,580,2097,50384,0.02684786361281743,464,3.0496426662557274,0.01
