susceptible_status,exposed_status,infected_status,recovered_status,dead,R₀,active_countermeasures,happiness
58557,0,1,0,0,3.54,0.0,-0.0020944206770900087
58555,2,1,0,0,3.54,0.0,-0.006683204661877873
58555,1,2,0,0,3.54,0.0,-0.007116148392325971
58555,0,3,0,0,3.54,0.0,-0.006670790866482229
58551,4,3,0,0,3.54,0.0,-0.00601234580791406
58547,7,4,0,0,3.54,0.0,-0.0053295526606695455
58544,8,6,0,0,3.54,0.0,-0.004681855025111159
58539,13,6,0,0,3.54,0.0,-0.004086478196908739
58533,18,5,2,0,3.54,0.0,-0.0035456161305489507
58531,19,6,2,0,3.54,0.0,-0.0030560842529797154
58524,19,12,3,0,3.54,0.0,-0.0026130099512831906
58520,18,17,3,0,3.54,0.0,-0.0022112843185940314
58504,29,18,7,0,3.54,0.0,-0.0018461171963540385
58486,39,26,7,0,3.54,0.0,-0.0015132200433821603
58462,53,34,9,0,3.54,0.0,-0.0012088337323993559
58424,75,49,10,0,3.54,0.0,-0.0009296945331572215
58376,103,67,12,0,3.54,0.0,-0.0006729790199389629
58322,131,85,20,0,3.54,0.0,-0.00043624553485966386
58265,162,102,29,0,3.54,0.0,-0.00021737944383155294
58187,201,134,36,0,3.54,0.0,-1.4544718664391553e-5
58087,251,174,46,0,3.54,0.0,0.00017385771314947784
57961,316,221,60,0,3.54,0.0,0.0003492252872100282
57810,390,281,77,0,3.54,0.0,0.0005127835397796113
57587,518,361,92,0,3.54,0.0,0.0006656110723630828
57380,615,449,114,0,3.54,0.0,0.000808660500170158
57132,701,574,151,0,3.54,0.0,0.000942776050163395
56810,843,716,189,0,3.54,0.0,0.0010687083754767276
56441,1001,874,242,0,3.54,0.0,0.0011871270602188497
56068,1148,1029,312,1,3.54,0.0,0.0012986312071974677
55627,1305,1242,383,1,3.54,0.0,0.0014037584319630037
55091,1511,1492,463,1,3.54,0.0,0.0015029925290294787
54460,1752,1776,569,1,3.54,0.0,0.0015967700287648685
53652,2108,2100,697,1,3.54,0.0,0.0016854858246898904
52684,2551,2482,840,1,3.54,0.0,0.0017694980193103393
51533,3108,2898,1015,4,3.54,0.0,0.0018491321108425316
50049,3835,3465,1204,5,3.54,0.0,0.0019246846221823947
48236,4723,4149,1443,7,3.54,0.0,0.0019964262563158808
46043,5807,4976,1724,8,3.54,0.0,0.0020646046483353358
43444,6989,6014,2101,10,3.54,0.0,0.002129446772718498
40275,8418,7348,2502,15,3.54,0.0,0.0021911610550635423
36619,10096,8820,3004,19,3.54,0.0,0.002249939229670274
