susceptible_status,exposed_status,infected_status,recovered_status,ensemble,dead,R₀,active_countermeasures,happiness,ensemble_1
58557,0,1,0,1,0,3.54,0.0,-0.11867884581277197,1
58556,1,1,0,1,0,3.54,0.0,-0.012633725661108947,1
58556,1,0,1,1,0,3.54,0.0,0.06874630284386242,1
58556,1,0,1,1,0,3.54,0.0,0.14319723133888562,1
58556,1,0,1,1,0,3.54,0.0,0.211468251188679,1
58556,1,0,1,1,0,3.54,0.0,0.27357056136598695,1
58556,1,0,1,1,0,3.54,0.0,0.32706063873637636,1
58557,1,0,0,1,0,3.54,0.0,0.37734597296835864,1
58557,1,0,0,1,0,3.54,0.0,0.4232693818222349,1
58557,0,1,0,1,0,3.54,0.0,0.4653749342165464,1
58556,1,1,0,1,0,3.54,0.0,0.5019571942309106,1
58556,1,1,0,1,0,3.54,0.0,0.5336641057432245,1
58555,1,2,0,1,0,3.54,0.0,0.5578842675968694,1
58551,4,3,0,1,0,3.54,0.0,0.574239328323313,1
58551,4,3,0,1,0,3.54,0.0,0.5883737086949395,1
58551,2,5,0,1,0,3.54,0.0,0.5954372774144959,1
58548,3,7,0,1,0,3.54,0.0,0.6005988406073177,1
58544,4,10,0,1,0,3.54,0.0,0.6046531491732507,1
58538,8,10,2,1,0,3.54,0.0,0.6068602286560635,1
58530,15,11,2,1,0,3.54,0.0,0.6107164557883307,1
58519,21,16,2,1,0,3.54,0.0,0.6113506895359586,1
58499,36,21,2,1,0,3.54,0.0,0.6113535946070404,1
58482,43,30,3,1,0,3.54,0.0,0.6100961059318722,1
58450,68,34,6,1,0,3.54,0.0,0.6117357884172846,1
58416,90,45,7,1,0,3.54,0.0,0.6091254789349945,1
58374,101,74,9,1,0,3.54,0.0,0.61126458742773,1
58311,138,96,13,1,0,3.54,0.0,0.6121398651033964,1
58237,182,121,18,1,0,3.54,0.0,0.6110353549591967,1
58149,228,155,26,1,0,3.54,0.0,0.6114065756563767,1
58047,275,199,37,1,0,3.54,0.0,0.6072429103817328,1
57906,357,248,47,1,0,3.54,0.0,0.6093775968581978,1
57715,444,336,63,1,0,3.54,0.0,0.6059296343153124,1
57505,549,426,78,1,0,3.54,0.0,0.6069816220738321,1
57235,681,527,115,1,0,3.54,0.0,0.6072469611301171,1
56947,817,634,160,1,0,3.54,0.0,0.6075032900681682,1
56602,951,803,201,1,1,3.54,0.0,0.6091415918826737,1
56202,1127,961,267,1,1,3.54,0.0,0.6069083037318949,1
55688,1384,1142,342,1,2,3.54,0.0,0.608486535436021,1
55131,1614,1386,423,1,4,3.54,0.0,0.6086672446066429,1
54447,1933,1636,538,1,4,3.54,0.0,0.6082131637016059,1
53561,2364,1988,640,1,5,3.54,0.0,0.6101662412351202,1
52450,2904,2433,766,1,5,3.54,0.0,0.6103227372643272,1
51063,3560,2997,933,1,5,3.54,0.0,0.6078291879760592,1
49410,4325,3679,1138,1,6,3.54,0.0,0.6068444397938845,1
47443,5277,4409,1420,1,9,3.54,0.0,0.6087061226103346,1
45045,6407,5357,1740,1,9,3.54,0.0,0.6109214006462691,1
42254,7681,6440,2168,1,15,3.54,0.0,0.611112857559958,1
39058,9012,7865,2606,1,17,3.54,0.0,0.6119582501814245,1
35484,10486,9382,3181,1,25,3.54,0.0,0.6117159019152496,1
31496,11981,11212,3838,1,31,3.54,0.0,0.611273207780398,1
27378,13317,13174,4654,1,35,3.54,0.0,0.6131466464933694,1
23132,14567,15250,5570,1,39,3.54,0.0,0.6121344047706858,1
18977,15456,17400,6681,1,44,3.54,0.0,0.6118560635547675,1
15120,15911,19612,7860,1,55,3.54,0.0,0.6124779981657315,1
11675,15936,21663,9220,1,64,3.54,0.0,0.6115121092547305,1
8708,15463,23566,10741,1,80,3.54,0.0,0.6109609380003338,1
6347,14586,25135,12398,1,92,3.54,0.0,0.6105178266352359,1
4494,13476,26310,14176,1,102,3.54,0.0,0.610665962379793,1
3155,12003,27353,15933,1,114,3.54,0.0,0.6090618895043269,1
2126,10489,27952,17863,1,128,3.54,0.0,0.6076703860671884,1
1450,8996,28189,19782,1,141,3.54,0.0,0.6081231559263286,1
1052,7605,28006,21745,1,150,3.54,0.0,0.6079802888720113,1
736,6447,27563,23654,1,158,3.54,0.0,0.6100379788113918,1
532,5370,26909,25572,1,175,3.54,0.0,0.6104340705439302,1
439,4474,26107,27358,1,180,3.54,0.0,0.6108476312704239,1
367,3730,25173,29091,1,197,3.54,0.0,0.6106937701095767,1
350,3096,24164,30732,1,216,3.54,0.0,0.6118589859007784,1
348,2581,23017,32382,1,230,3.54,0.0,0.6109741975840333,1
344,2161,21931,33881,1,241,3.54,0.0,0.6095183486344895,1
345,1845,20788,35328,1,252,3.54,0.0,0.6096421202356112,1
359,1620,19586,36729,1,264,3.54,0.0,0.610774294103193,1
389,1363,18535,37997,1,274,3.54,0.0,0.6083863100604021,1
437,1186,17451,39203,1,281,3.54,0.0,0.6093904342505697,1
